'#';'Reference';'Value';'Manufacturer';'Part Number';'Qty'
'75';'R85,R89,R90,R102';'0R';'YAGEO';'RC0402JR-070RL';'4'
'76';'R93,R94';'27.4R';'YAGEO';'RC0402FR-0727R4P';'2'
'77';'R104';'56K';'YAGEO';'RC0402JR-0756KL';'1'
'78';'R108';'44K2';'YAGEO';'RC0402FR-0744K2L';'1'
'79';'R109';'5K1';'YAGEO';'RC0402JR-075K1L';'1'
'80';'R125';'12K1';'YAGEO';'RT1206FRE0712K1L';'1'
'81';'S1,S2,S3';'436333033816';'Wurth Elektronik';'436333033816';'3'
'82';'S4';'JS102011JCQN';'CK COMPONENTS';'JS102011JCQN';'1'
'83';'TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49';'3.86V,TestPoint';'';'';'49'
'84';'U1';SC206EEMDA-G51-UGNDA';'Quectel';'SC200EEMNA-E53-UGNDA';'1'
'85';'U2';'AP64502QSP-13';'Diodes Incorporated';'AP64502QSP-13';'1'
'86';'U3';'AP7335-WG-7';'Diodes Incorporated';'AP7335-WG-7';'1'
'87';'U6,U15';'AP61100Z6-7,AP61300Z6-7';'Diodes Incorporated';'AP61100Z6-7';'2'
'88';'U7,U9';'PI3USB4000DZUAEX';'Diodes Incorporated';'PI3USB4000DZUAEX';'2'
'89';'U10';'SGM804';'SGMICRO(圣邦微)';'SGM804-2.93YN5G/TR';'1'
'90';'U12';'RP2040';'RASPBERRY-PI';'SC0914(7)';'1'
'91';'U13';'PAM8302AASCR';'Diodes Incorporated';'PAM8302AASCR';'1'
'92';'U14';'ASM2362';'ASMedia';'ASM2362';'1'
'93';'Y1';'ABM8-272-T3';'ABRACON';'ABM8-272-T3';'1'
'94';'Y2';'25MHz';'Diodes Incorporated';'FL2500188';'1'
